 Window Size = 15, Outer Loop no. = 4, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.23469388484954834, MaxAccuracy = 0.6982507109642029 
 Window Size = 15, Outer Loop no. = 4, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.23615160584449768, MaxAccuracy = 0.7434402108192444 
 Window Size = 15, Outer Loop no. = 4, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.23760932683944702, MaxAccuracy = 0.7084547877311707 
 Window Size = 15, Outer Loop no. = 4, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.2551020383834839, MaxAccuracy = 0.737609326839447 
 Window Size = 15, Outer Loop no. = 4, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.23760932683944702, MaxAccuracy = 0.67201167345047 
 Window Size = 15, Outer Loop no. = 4, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.27259474992752075, MaxAccuracy = 0.6851311922073364 
 Window Size = 15, Outer Loop no. = 4, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.2973760962486267, MaxAccuracy = 0.5437317490577698 
 Window Size = 15, Outer Loop no. = 4, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.3309037983417511, MaxAccuracy = 0.7638484239578247 
 Window Size = 15, Outer Loop no. = 4, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.23615160584449768, MaxAccuracy = 0.5189504623413086 
 Window Size = 15, Outer Loop no. = 4, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.262390673160553, MaxAccuracy = 0.7244898080825806 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.30523917078971863, MaxAccuracy = 0.7038724422454834 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.5330296158790588, MaxAccuracy = 0.712984025478363 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.30523917078971863, MaxAccuracy = 0.7175398468971252 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.6583143472671509, MaxAccuracy = 0.6583143472671509 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.4738040864467621, MaxAccuracy = 0.6993166208267212 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.6082004308700562, MaxAccuracy = 0.6628701686859131 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.42824602127075195, MaxAccuracy = 0.7107061743736267 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.446469247341156, MaxAccuracy = 0.7175398468971252 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.5649202466011047, MaxAccuracy = 0.7107061743736267 
 Window Size = 20, Outer Loop no. = 0, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.5330296158790588, MaxAccuracy = 0.6742596626281738 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.2508038580417633, MaxAccuracy = 0.6784566044807434 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.6784566044807434, MaxAccuracy = 0.7524116039276123 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.4244372844696045, MaxAccuracy = 0.6848874688148499 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.5627009868621826, MaxAccuracy = 0.7524116039276123 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.610932469367981, MaxAccuracy = 0.6270096302032471 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.47909969091415405, MaxAccuracy = 0.7524116039276123 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.25723472237586975, MaxAccuracy = 0.7524116039276123 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.7202572226524353, MaxAccuracy = 0.7363343834877014 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.2958199381828308, MaxAccuracy = 0.7491961121559143 
 Window Size = 20, Outer Loop no. = 1, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.3633440434932709, MaxAccuracy = 0.7524116039276123 
 Window Size = 20, Outer Loop no. = 2, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.41304346919059753, MaxAccuracy = 0.60597825050354 
 Window Size = 20, Outer Loop no. = 2, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.45108696818351746, MaxAccuracy = 0.6114130616188049 
 Window Size = 20, Outer Loop no. = 2, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.532608687877655, MaxAccuracy = 0.6195651888847351 
